exporter,importer,trade_weight
AFG,KHM,1.542902238733505e-07
AFG,KIR,1.7595520815268014e-09
AFG,KNA,7.013780613816475e-08
AFG,KOR,6.498188233014317e-07
AFG,KWT,8.848355170712747e-07
AFG,LAO,5.707507647963281e-09
AFG,LBN,3.3086190066286163e-06
AFG,LCA,1.0745754841117873e-08
AFG,LKA,6.578431691229795e-07
AFG,LTU,5.156614827484897e-07
AFG,LUX,9.429307165498141e-08
AFG,LVA,2.913942848161929e-06
AFG,MAC,1.7802883082080204e-07
AFG,MAR,2.0257174437087263e-07
AFG,MDA,1.2266348398024423e-07
AFG,MDG,7.394612222190658e-09
AFG,MDV,1.8879426237336925e-07
AFG,MEX,4.041117630807974e-06
AFG,MKD,1.4103558130070218e-07
AFG,MLI,1.3042740618329449e-07
AFG,MLT,1.0587324204099752e-07
AFG,MMR,3.0093521210794087e-06
AFG,MNE,1.4483825485428145e-08
AFG,MNG,4.822175458870757e-07
AFG,MOZ,2.0072998525930032e-06
AFG,MRT,1.4984383366111952e-07
AFG,MUS,9.012804159877377e-08
AFG,MWI,6.235163051145153e-09
AFG,MYS,1.1484151406823839e-06
AFG,MYT,1.471117979560392e-08
AFG,NAM,1.0997011310393959e-08
AFG,NCL,1.722760124023908e-08
AFG,NER,2.975212257777102e-08
AFG,NGA,0.00019705704486181567
AFG,NIC,1.1150507466677433e-08
AFG,NLD,6.284146189356311e-06
AFG,NOR,1.428919455545473e-06
AFG,NPL,4.0442106332619367e-07
AFG,NZL,7.259135415073927e-07
AFG,OMN,3.2891515179043897e-07
AFG,PAK,0.0009999929884515156
AFG,PAN,9.081559130460909e-10
AFG,PER,1.34983063147411e-07
AFG,PHL,6.473351280752414e-07
AFG,PNG,6.492053450622543e-09
AFG,POL,3.256344858543472e-06
AFG,PRT,1.966435043829329e-07
AFG,PRY,1.9773377078309785e-06
AFG,PSE,6.933518130575502e-08
AFG,PYF,1.2593267326798418e-08
AFG,QAT,5.844687121284205e-07
AFG,ROU,3.0418855740031654e-07
AFG,RUS,3.9964061258621675e-05
AFG,RWA,3.1268312617239712e-09
AFG,SAU,1.2074131523053758e-05
AFG,SCG,1.627112677540913e-09
AFG,SDN,1.3929938671406016e-05
AFG,SEN,2.1540009832860484e-06
AFG,SGP,1.6869984650382323e-06
AFG,SLV,2.439083183448058e-07
AFG,SOM,2.8556205889140125e-07
AFG,SRB,1.779261227115885e-07
AFG,STP,7.37876679349949e-10
AFG,SUR,2.4323442537751136e-08
AFG,SVK,1.9751995510532779e-07
AFG,SVN,3.76847318162374e-07
AFG,SWE,2.684959021578478e-06
AFG,SWZ,2.4194120189737633e-06
AFG,SYC,2.128200315840664e-07
AFG,SYR,3.4181929051822977e-06
AFG,TGO,2.9532095097367572e-08
AFG,THA,1.116336724174605e-06
AFG,TJK,1.2276730133703725e-05
AFG,TKL,2.054702753266781e-09
AFG,TKM,5.6400276503086846e-06
AFG,TON,1.1768187039888929e-09
AFG,TTO,3.958112963862623e-07
AFG,TUN,1.9305188649287786e-06
AFG,TUR,4.399591077993871e-05
AFG,TWN,1.641311623165523e-07
AFG,TZA,1.2368625474591268e-07
AFG,UGA,7.225586432853668e-08
AFG,UKR,1.3629929365531243e-06
AFG,URY,4.8258185935867503e-08
AFG,USA,6.004648356710207e-05
AFG,UZB,5.945233224798806e-06
AFG,VCT,3.6812951331491785e-08
AFG,VEN,2.554154990164387e-06
AFG,VNM,5.404509836426499e-06
AFG,VUT,2.699871849826608e-09
AFG,WSM,9.838355724665985e-10
AFG,YEM,3.7738851421826994e-07
AFG,ZAF,1.094999847529811e-06
AFG,ZMB,8.865115304518257e-08
AFG,ZWE,3.5092075922063055e-08
AGO,AFG,5.860916624246935e-08
AGO,ALB,8.789814043394852e-08
AGO,AND,8.00186265606167e-09
AGO,ANT,9.156092243041195e-06
AGO,ARE,0.004582432333453959
AGO,ARG,7.5220292296676155e-06
AGO,ARM,9.276585612787557e-07
AGO,ASM,4.542671556715968e-08
AGO,ATG,5.661890471919913e-07
AGO,AUS,3.1458544162478244e-05
AGO,AUT,7.451023764643046e-06
AGO,AZE,5.948296581601085e-07
AGO,BDI,1.0127830421949428e-08
AGO,BEL,0.001577647636014222
AGO,BEN,2.104321721308816e-05
AGO,BFA,5.270110828537151e-06
AGO,BGD,5.124326499107133e-07
AGO,BGR,1.6186652694389494e-06
AGO,BHR,3.0729725707697106e-08
AGO,BHS,0.00019907449733434478
AGO,BIH,1.8658820030126144e-08
AGO,BLR,4.3092944069779775e-08
AGO,BLZ,1.2025251923025539e-06
AGO,BMU,4.919177862332993e-10
AGO,BOL,5.064447491245971e-07
AGO,BRA,0.0013297935413836258
AGO,BRB,4.9907708201447926e-08
AGO,BRN,2.6057390676902793e-05
AGO,BTN,6.111132498205988e-09
AGO,BWA,3.621290412964867e-06
AGO,CAF,3.2764751749514554e-07
AGO,CAN,0.002689866618787967
AGO,CHE,0.0002157937621884392
AGO,CHL,0.0010777418028575208
AGO,CHN,0.04845476332335505
AGO,CIV,0.00018048584365619325
AGO,CMR,2.1680012777077342e-05
AGO,COD,0.00037459960903311814
AGO,COG,0.002056238470592769
AGO,COL,0.00016227438781097242
AGO,CPV,6.934619690062622e-07
AGO,CRI,1.2034883879679057e-06
AGO,CUB,4.69228381061926e-06
AGO,CUW,6.259605697555342e-05
AGO,CYP,7.481153804729493e-07
AGO,CZE,5.581769497629411e-07
AGO,DEU,0.00062176653183723
AGO,DJI,4.0300049305248797e-07
AGO,DMA,1.9542380053860568e-08
AGO,DNK,2.7873371848691706e-05
AGO,DOM,4.068409125528665e-06
AGO,DZA,2.3495207498372246e-06
